issueId,title,description,status,priority,resolution,reportedByUserId,assignedTeamId,sourceConversationId,createdAt,updatedAt
2578,Badge reader at north entrance intermittently fails,The badge reader at the north entrance rejects valid badges about one time in five. Second tap usually works.,open,normal,,u-1006,network,,2026-06-30T14:26:08.427Z,2026-07-21T13:47:53.496Z
4582,Slack notifications arrive ten minutes late,Desktop Slack notifications arrive around ten minutes after the message is posted. Mobile is instant.,open,low,,u-1004,network,,2026-07-07T10:53:14.317Z,2026-08-09T04:29:16.359Z
1941,Docker Desktop fails to start after macOS upgrade,Docker Desktop hangs on 'starting' after the macOS upgrade. Resetting to factory defaults does not help.,in_progress,normal,,u-1004,network,,2026-08-02T07:56:12.853Z,2026-08-08T21:13:31.554Z
1677,Request additional 16 GB RAM for data science laptop,Training runs on my laptop swap heavily with 16 GB. Requesting an upgrade to 32 GB or a loaner workstation.,open,normal,,u-1009,network,,2026-08-19T16:28:08.129Z,2026-08-20T05:00:14.068Z
3310,Terraform plan fails with provider checksum mismatch,Running terraform plan in CI fails with a checksum mismatch for the cloud provider. Local plan on the same commit passes.,in_progress,low,,u-1003,network,,2026-07-27T06:54:38.894Z,2026-08-28T21:06:51.696Z
4246,Internal npm registry returns 502 for scoped packages,Installing packages under our internal scope fails with 502 from the registry proxy. Public packages install fine.,open,normal,,u-1006,triage,,2026-06-13T11:23:01.661Z,2026-08-19T07:20:16.219Z
4578,Password reset link expires immediately,"The password reset email arrives, but the link reports it has expired even when opened within a minute.",open,high,,u-1006,triage,,2026-07-06T04:37:04.006Z,2026-07-18T00:45:35.279Z
2558,Voicemail transcription missing from phone system,Voicemails still arrive as audio files but the text transcription stopped appearing last week.,resolved,high,Transcription API key rotated without updating the PBX; new key installed.,u-1007,platform,,2026-07-17T03:22:20.740Z,2026-08-24T19:24:49.289Z
3974,Headset microphone not picked up in Teams,Teams shows the headset as an output device but the microphone never appears as an input. Other apps see it.,resolved,high,Teams privacy setting for the microphone was off after the OS upgrade; re-enabled.,u-demo,triage,,2026-08-15T11:50:34.720Z,2026-08-26T15:54:19.254Z
4043,East wing wifi drops during morning standups,Wifi in the east wing drops for everyone at around 9:30 each morning and comes back within a minute.,open,high,,u-1012,network,,2026-06-18T08:50:28.569Z,2026-08-19T19:59:53.660Z
4411,Grafana dashboard shows no data for payments service,"The payments service dashboard shows 'No data' for all panels since yesterday, though the service is serving traffic.",open,normal,,u-1008,network,,2026-07-21T02:55:07.954Z,2026-08-18T15:22:04.538Z
2396,Access request: read access to analytics warehouse,Need read-only access to the analytics warehouse schema to validate the quarterly numbers.,in_progress,normal,,u-1012,endpoint,,2026-08-01T03:43:40.525Z,2026-08-05T19:56:57.065Z
2463,Ubuntu workstation kernel panic on resume from sleep,The Ubuntu workstation panics about half the time it resumes from sleep. Logs point at the graphics driver.,resolved,low,Pinned the NVIDIA driver to the previous LTS release; no panics in a week.,u-demo,triage,,2026-07-03T06:34:02.113Z,2026-08-29T08:50:44.376Z
4517,Time tracking tool logs hours in the wrong time zone,Hours logged in the time tracking tool show up shifted by eight hours in the weekly report.,resolved,high,User profile time zone was set to UTC; changed to the local zone.,u-1006,endpoint,,2026-08-17T17:26:44.069Z,2026-08-19T17:06:29.258Z
1190,CI runners out of disk space,Several CI runners fail jobs with 'no space left on device'. Docker image layers appear to fill the disk.,open,normal,,u-1004,network,,2026-07-10T06:48:25.542Z,2026-08-21T02:49:41.010Z
4139,Prometheus alert flapping for API latency,The API latency alert fires and resolves several times an hour without a real change in traffic.,in_progress,low,,u-1003,endpoint,,2026-07-15T13:21:17.819Z,2026-08-06T19:24:40.543Z
2836,New starter laptop not enrolled in MDM,A new starter's laptop shows as unmanaged in the MDM console so company apps will not install.,in_progress,low,,u-1006,network,,2026-08-03T20:27:23.432Z,2026-08-18T01:20:01.971Z
2069,Certificate for internal wiki expired,Browsers show a certificate expired warning for the internal wiki since this morning.,in_progress,normal,,u-1007,endpoint,,2026-07-03T13:30:26.844Z,2026-07-11T13:50:05.346Z
1015,Shared drive mount fails on Linux workstations,"The shared drive fails to mount on Linux workstations with 'permission denied', while macOS machines mount it fine.",open,normal,,u-1002,platform,,2026-08-24T03:06:15.382Z,2026-08-27T12:24:17.133Z
3009,VS Code remote session freezes on large repositories,Remote SSH sessions in VS Code freeze when opening the monorepo. Smaller repositories work.,resolved,high,File watcher limit on the remote host was too low; raised inotify max_user_watches.,u-1002,platform,,2026-08-25T15:06:19.152Z,2026-08-27T02:13:36.161Z
3811,Test environment API keys rotated without notice,Integration tests started failing with 401 because the test environment API keys were rotated and nobody was told.,open,normal,,u-1007,triage,,2026-06-05T05:59:50.610Z,2026-08-02T06:29:14.735Z
4185,Keyboard shortcuts not working in the ticketing web app,Keyboard shortcuts in the ticketing web app stopped working after the latest browser release.,resolved,normal,A browser extension captured the key events; disabled the extension for the app's domain.,u-1007,platform,,2026-07-14T19:45:21.678Z,2026-07-18T14:02:33.559Z
1383,Second floor scanner produces unreadable PDFs,Documents scanned on the second floor scanner arrive as PDFs that no viewer can open.,open,normal,,u-demo,network,,2026-07-01T07:57:33.272Z,2026-08-04T22:15:50.955Z
4906,Redis cache evictions logging users out,Users are logged out at random during the day. Redis shows heavy evictions on the session keyspace.,in_progress,low,,u-demo,network,,2026-07-31T17:10:51.085Z,2026-08-26T18:41:21.732Z
3146,Database migration fails on staging with lock timeout,The latest schema migration times out waiting for a lock on the orders table in staging.,resolved,normal,A long-running analytics query held the lock; migration re-run in a maintenance window.,u-1003,platform,,2026-06-06T17:36:35.704Z,2026-07-21T10:49:04.514Z
4440,Office 365 calendar invites arriving twice,"Every calendar invite arrives twice in Outlook, once from the organiser and once from a forwarding rule.",resolved,normal,Removed a duplicate forwarding rule on the mailbox.,u-1012,endpoint,,2026-07-10T04:33:43.130Z,2026-07-26T15:58:19.655Z
2976,Vault token renewal fails from CI,CI jobs fail to renew their Vault token halfway through long builds and lose access to secrets.,resolved,high,Token TTL was shorter than the longest build; raised the role's max TTL to two hours.,u-1010,endpoint,,2026-06-30T10:41:49.622Z,2026-08-03T14:25:47.290Z
4867,Mobile app crashes on launch on Android 15 test device,The mobile app crashes immediately on launch on the Android 15 test device. Android 14 devices are fine.,resolved,high,Edge-to-edge enforcement broke a legacy view; patched the layout for API 35.,u-1012,platform,,2026-08-03T08:50:33.739Z,2026-08-22T11:48:31.696Z
4458,Sentry error spike after release 2.14.0,"Sentry shows a tenfold error spike since release 2.14.0, mostly null reference errors in the checkout flow.",resolved,normal,Rolled back 2.14.0 and shipped 2.14.1 with a null guard.,u-1005,platform,,2026-08-02T02:52:58.965Z,2026-08-14T11:13:41.159Z
2358,Payroll export job fails with encoding error,The monthly payroll export fails with a UTF-8 encoding error on employee names containing accents.,open,low,,u-1007,platform,,2026-07-06T03:10:27.694Z,2026-08-14T10:58:39.473Z
